"DateTime","HDFCLIFE","HDFCLIFE - PB"
"2017-11-16 04:00:00",,19.32
"2017-11-17 04:00:00",344.6,19.32
"2017-11-20 04:00:00",355.35,21.73
"2017-11-21 04:00:00",385.3,22.13
"2017-11-22 04:00:00",395.2,21.09
"2017-11-23 04:00:00",374.85,20.81
"2017-11-24 04:00:00",370.7,20.81
"2017-11-27 04:00:00",380.35,21.46
"2017-11-28 04:00:00",382.2,21.33
"2017-11-29 04:00:00",377.8,20.89
"2017-11-30 04:00:00",371.5,20.95
"2017-12-01 04:00:00",372.75,20.95
"2017-12-04 04:00:00",362.8,20.34
"2017-12-05 04:00:00",362.35,20.79
"2017-12-06 04:00:00",368.35,21.78
"2017-12-07 04:00:00",388.3,21.79
"2017-12-08 04:00:00",389.3,21.79
"2017-12-11 04:00:00",380.8,21.7
"2017-12-12 04:00:00",383.8,21.34
"2017-12-13 04:00:00",380.8,21.62
"2017-12-14 04:00:00",384.3,21.41
"2017-12-15 04:00:00",381.4,21.41
"2017-12-18 04:00:00",377.45,21.11
"2017-12-19 04:00:00",374.9,21.2
"2017-12-20 04:00:00",375.15,21.06
"2017-12-21 04:00:00",376.05,21.02
"2017-12-22 04:00:00",374.55,21.02
"2017-12-26 04:00:00",376.55,21.06
"2017-12-27 04:00:00",374.85,21.29
"2017-12-28 04:00:00",377.95,21.62
"2017-12-29 04:00:00",386,21.62
"2018-01-01 04:00:00",389.65,22.28
"2018-01-02 04:00:00",395.5,21.66
"2018-01-03 04:00:00",385.65,22.44
"2018-01-04 04:00:00",399,22.84
"2018-01-05 04:00:00",407,22.84
"2018-01-08 04:00:00",422.1,24.47
"2018-01-09 04:00:00",435.5,24.1
"2018-01-10 04:00:00",429.25,25.14
"2018-01-11 04:00:00",446.7,25.51
"2018-01-12 04:00:00",455.95,25.51
"2018-01-15 04:00:00",474.85,27.28
"2018-01-16 04:00:00",482.65,26.94
"2018-01-17 04:00:00",478.4,27.45
"2018-01-18 04:00:00",485.05,27.02
"2018-01-19 04:00:00",481.5,27.02
"2018-01-22 04:00:00",470.2,25.63
"2018-01-23 04:00:00",458.55,25.53
"2018-01-24 04:00:00",455.25,25.13
"2018-01-25 04:00:00",448.5,25.13
"2018-01-29 04:00:00",445.35,23.49
"2018-01-30 04:00:00",421.85,23.97
"2018-01-31 04:00:00",427,25.22
"2018-02-01 04:00:00",448.25,24.91
"2018-02-02 04:00:00",442.4,24.91
"2018-02-05 04:00:00",441.7,24.65
"2018-02-06 04:00:00",438.8,24.33
"2018-02-07 04:00:00",433.45,24.8
"2018-02-08 04:00:00",441.5,24.6
"2018-02-09 04:00:00",439.55,24.6
"2018-02-12 04:00:00",441.75,24.61
"2018-02-14 04:00:00",431.9,24.31
"2018-02-15 04:00:00",432,24.21
"2018-02-16 04:00:00",431.45,24.21
