"DateTime","HDFCLIFE","HDFCLIFE - PE"
"2017-11-16 04:00:00",,75.47
"2017-11-17 04:00:00",344.6,75.47
"2017-11-20 04:00:00",355.35,84.9
"2017-11-21 04:00:00",385.3,86.46
"2017-11-22 04:00:00",395.2,82.4
"2017-11-23 04:00:00",374.85,81.32
"2017-11-24 04:00:00",370.7,81.32
"2017-11-27 04:00:00",380.35,83.83
"2017-11-28 04:00:00",382.2,83.35
"2017-11-29 04:00:00",377.8,81.64
"2017-11-30 04:00:00",371.5,81.85
"2017-12-01 04:00:00",372.75,81.85
"2017-12-04 04:00:00",362.8,79.48
"2017-12-05 04:00:00",362.35,81.22
"2017-12-06 04:00:00",368.35,85.09
"2017-12-07 04:00:00",388.3,85.15
"2017-12-08 04:00:00",389.3,85.15
"2017-12-11 04:00:00",380.8,84.77
"2017-12-12 04:00:00",383.8,83.39
"2017-12-13 04:00:00",380.8,84.47
"2017-12-14 04:00:00",384.3,83.65
"2017-12-15 04:00:00",381.4,83.65
"2017-12-18 04:00:00",377.45,82.47
"2017-12-19 04:00:00",374.9,82.84
"2017-12-20 04:00:00",375.15,82.29
"2017-12-21 04:00:00",376.05,82.14
"2017-12-22 04:00:00",374.55,82.14
"2017-12-26 04:00:00",376.55,82.27
"2017-12-27 04:00:00",374.85,83.17
"2017-12-28 04:00:00",377.95,84.47
"2017-12-29 04:00:00",386,84.47
"2018-01-01 04:00:00",389.65,87.04
"2018-01-02 04:00:00",395.5,84.64
"2018-01-03 04:00:00",385.65,87.67
"2018-01-04 04:00:00",399,89.23
"2018-01-05 04:00:00",407,89.23
"2018-01-08 04:00:00",422.1,95.61
"2018-01-09 04:00:00",435.5,94.14
"2018-01-10 04:00:00",429.25,98.23
"2018-01-11 04:00:00",446.7,99.67
"2018-01-12 04:00:00",455.95,99.67
"2018-01-15 04:00:00",474.85,106.58
"2018-01-16 04:00:00",482.65,105.25
"2018-01-17 04:00:00",478.4,107.27
"2018-01-18 04:00:00",485.05,105.55
"2018-01-19 04:00:00",481.5,102.76
"2018-01-22 04:00:00",470.2,97.49
