"DateTime","ETERNAL","ETERNAL - PB"
"2021-07-23 04:00:00",126,14.04
"2021-07-26 04:00:00",140.65,15.67
"2021-07-27 04:00:00",132.9,14.81
"2021-07-28 04:00:00",131.2,14.62
"2021-07-29 04:00:00",141.55,15.77
"2021-07-30 04:00:00",133.5,14.88
"2021-08-02 04:00:00",139.7,15.57
"2021-08-03 04:00:00",139.4,15.53
"2021-08-04 04:00:00",138.4,15.42
"2021-08-05 04:00:00",134.95,15.04
"2021-08-06 04:00:00",131.35,14.64
"2021-08-09 04:00:00",130.6,14.55
"2021-08-10 04:00:00",125.2,13.95
"2021-08-11 04:00:00",135.65,15.12
"2021-08-12 04:00:00",135.45,15.09
"2021-08-13 04:00:00",137.35,15.3
"2021-08-16 04:00:00",134.95,15.04
"2021-08-17 04:00:00",132.5,14.76
"2021-08-18 04:00:00",134.95,15.04
"2021-08-20 04:00:00",139.3,15.52
"2021-08-23 04:00:00",127.25,14.18
"2021-08-24 04:00:00",125,13.93
"2021-08-25 04:00:00",124.25,13.84
"2021-08-26 04:00:00",125.85,14.02
"2021-08-27 04:00:00",124.7,13.9
"2021-08-30 04:00:00",133.55,14.88
"2021-08-31 04:00:00",134.55,14.99
"2021-09-01 04:00:00",132.6,14.78
"2021-09-02 04:00:00",137.6,15.33
"2021-09-03 04:00:00",149.75,16.69
"2021-09-06 04:00:00",144.05,16.05
"2021-09-07 04:00:00",140.05,15.61
"2021-09-08 04:00:00",141.25,15.74
"2021-09-09 04:00:00",141.6,15.78
"2021-09-13 04:00:00",143.15,15.95
"2021-09-14 04:00:00",144.1,16.06
"2021-09-15 04:00:00",142.65,15.9
"2021-09-16 04:00:00",142.05,15.83
"2021-09-17 04:00:00",137.9,15.37
"2021-09-20 04:00:00",134.3,14.96
"2021-09-21 04:00:00",133.45,14.87
"2021-09-22 04:00:00",132.1,14.72
"2021-09-23 04:00:00",137.3,15.3
"2021-09-24 04:00:00",136.65,15.23
"2021-09-27 04:00:00",143.7,16.01
"2021-09-28 04:00:00",139,15.49
"2021-09-29 04:00:00",138.5,15.43
"2021-09-30 04:00:00",136.6,15.22
"2021-10-01 04:00:00",138,15.38
"2021-10-04 04:00:00",139.1,15.5
"2021-10-05 04:00:00",137.95,15.37
"2021-10-06 04:00:00",134.95,15.04
"2021-10-07 04:00:00",137.1,15.28
"2021-10-08 04:00:00",136.15,15.17
"2021-10-11 04:00:00",136.85,15.25
"2021-10-12 04:00:00",136.6,15.22
"2021-10-13 04:00:00",135.45,15.09
"2021-10-14 04:00:00",135,15.04
"2021-10-18 04:00:00",144.05,16.05
"2021-10-19 04:00:00",138.55,15.44
"2021-10-20 04:00:00",137.9,15.37
"2021-10-21 04:00:00",138.15,15.39
"2021-10-22 04:00:00",137.75,15.35
"2021-10-25 04:00:00",132.7,14.79
"2021-10-26 04:00:00",135.45,15.09
"2021-10-27 04:00:00",134.8,15.02
"2021-10-28 04:00:00",135.6,15.11
"2021-10-29 04:00:00",131.55,14.66
"2021-11-01 04:00:00",132.65,14.78
"2021-11-02 04:00:00",132.45,14.76
"2021-11-03 04:00:00",128.35,14.3
"2021-11-04 04:00:00",131.35,14.64
"2021-11-08 04:00:00",131.15,14.61
"2021-11-09 04:00:00",137.65,15.34
"2021-11-10 04:00:00",136.05,15.16
"2021-11-11 04:00:00",140.9,15.7
"2021-11-12 04:00:00",153,17.05
"2021-11-15 04:00:00",160.3,17.86
"2021-11-16 04:00:00",157.6,17.56
"2021-11-17 04:00:00",156.55,17.44
"2021-11-18 04:00:00",154.7,17.24
"2021-11-22 04:00:00",149.75,16.69
"2021-11-23 04:00:00",148.7,16.57
"2021-11-24 04:00:00",155.5,17.33
"2021-11-25 04:00:00",159.75,17.8
"2021-11-26 04:00:00",148.15,16.51
"2021-11-29 04:00:00",149.1,16.61
"2021-11-30 04:00:00",152.55,17
"2021-12-01 04:00:00",151.4,16.87
"2021-12-02 04:00:00",150.65,16.79
"2021-12-03 04:00:00",144.9,16.15
"2021-12-06 04:00:00",138.55,15.44
"2021-12-07 04:00:00",139.8,15.58
"2021-12-08 04:00:00",147.6,16.45
"2021-12-09 04:00:00",146.25,16.3
"2021-12-10 04:00:00",140.55,15.66
"2021-12-13 04:00:00",142.65,15.9
"2021-12-14 04:00:00",140.65,15.67
"2021-12-15 04:00:00",140.6,15.67
"2021-12-16 04:00:00",138.4,15.42
"2021-12-17 04:00:00",135.35,15.08
"2021-12-20 04:00:00",126.55,14.1
"2021-12-21 04:00:00",131.6,14.66
"2021-12-22 04:00:00",138.65,15.45
"2021-12-23 04:00:00",133,14.82
"2021-12-24 04:00:00",131.45,14.65
"2021-12-27 04:00:00",132.75,14.79
"2021-12-28 04:00:00",132.85,14.8
"2021-12-29 04:00:00",137.1,15.28
"2021-12-30 04:00:00",133.95,14.93
"2021-12-31 04:00:00",137.4,15.31
