"DateTime","JIOFIN","JIOFIN - PB"
"2023-08-21 04:00:00",248.9,8.93
"2023-08-22 04:00:00",236.45,8.49
"2023-08-23 04:00:00",224.65,8.06
"2023-08-24 04:00:00",213.45,7.66
"2023-08-25 04:00:00",214.5,7.7
"2023-08-28 04:00:00",211.15,7.58
"2023-08-29 04:00:00",220.25,7.9
"2023-08-30 04:00:00",231.25,8.3
"2023-08-31 04:00:00",233.5,8.38
"2023-09-01 04:00:00",245.15,8.8
"2023-09-04 04:00:00",253.45,9.1
"2023-09-05 04:00:00",255.05,9.15
"2023-09-06 04:00:00",252.85,9.07
"2023-09-07 04:00:00",251.8,9.04
"2023-09-08 04:00:00",253.2,9.09
"2023-09-11 04:00:00",250.15,8.98
"2023-09-12 04:00:00",244.25,8.77
"2023-09-13 04:00:00",240.2,8.62
"2023-09-14 04:00:00",242.55,8.7
"2023-09-15 04:00:00",239.4,8.59
"2023-09-18 04:00:00",233.2,8.37
"2023-09-20 04:00:00",229.65,8.24
"2023-09-21 04:00:00",227.65,8.17
"2023-09-22 04:00:00",227.8,8.18
"2023-09-25 04:00:00",229.75,8.25
"2023-09-26 04:00:00",230.4,8.27
"2023-09-27 04:00:00",227.35,8.16
"2023-09-28 04:00:00",225.05,8.08
"2023-09-29 04:00:00",231.2,8.3
"2023-10-03 04:00:00",231.4,8.3
"2023-10-04 04:00:00",224.65,8.06
"2023-10-05 04:00:00",225.4,8.09
"2023-10-06 04:00:00",225.1,8.08
"2023-10-09 04:00:00",219.65,7.88
"2023-10-10 04:00:00",220.15,7.9
"2023-10-11 04:00:00",225.1,8.08
"2023-10-12 04:00:00",225.15,8.08
"2023-10-13 04:00:00",224.55,8.06
"2023-10-16 04:00:00",224.8,8.07
"2023-10-17 04:00:00",220.95,7.75
"2023-10-18 04:00:00",216,7.75
"2023-10-19 04:00:00",214.2,7.69
"2023-10-20 04:00:00",214.2,7.69
"2023-10-23 04:00:00",206.6,7.41
"2023-10-25 04:00:00",210.15,7.54
"2023-10-26 04:00:00",215.85,7.75
"2023-10-27 04:00:00",222.9,8
"2023-10-30 04:00:00",219,7.86
"2023-10-31 04:00:00",219,7.86
"2023-11-01 04:00:00",217.65,7.81
"2023-11-02 04:00:00",217.35,7.8
"2023-11-03 04:00:00",219.05,7.86
"2023-11-06 04:00:00",217.15,7.79
"2023-11-07 04:00:00",217.2,7.79
"2023-11-08 04:00:00",214.15,7.69
"2023-11-09 04:00:00",215.15,7.72
"2023-11-10 04:00:00",221.95,7.97
"2023-11-12 04:00:00",225.55,8.09
"2023-11-13 04:00:00",224.75,8.07
"2023-11-15 04:00:00",224.15,8.04
"2023-11-16 04:00:00",226.95,8.14
"2023-11-17 04:00:00",220.8,7.92
"2023-11-20 04:00:00",215.5,7.73
"2023-11-21 04:00:00",220.2,7.9
"2023-11-22 04:00:00",221.9,7.96
"2023-11-23 04:00:00",221.25,7.94
"2023-11-24 04:00:00",226.5,8.13
"2023-11-28 04:00:00",226.35,8.12
"2023-11-29 04:00:00",226.05,8.11
"2023-11-30 04:00:00",229.4,8.23
"2023-12-01 04:00:00",225.5,8.09
"2023-12-04 04:00:00",230.1,8.26
"2023-12-05 04:00:00",242.5,8.7
"2023-12-06 04:00:00",247.05,8.87
"2023-12-07 04:00:00",249.15,8.94
"2023-12-08 04:00:00",244.25,8.77
"2023-12-11 04:00:00",245.6,8.81
"2023-12-12 04:00:00",240.55,8.63
"2023-12-13 04:00:00",239.75,8.6
"2023-12-14 04:00:00",238.6,8.56
"2023-12-15 04:00:00",237.65,8.53
"2023-12-18 04:00:00",240.15,8.62
"2023-12-19 04:00:00",238.3,8.55
"2023-12-20 04:00:00",232.1,8.33
"2023-12-21 04:00:00",238,8.54
"2023-12-22 04:00:00",236.75,8.5
"2023-12-26 04:00:00",234.7,8.42
"2023-12-27 04:00:00",234,8.4
"2023-12-28 04:00:00",233.35,8.37
"2023-12-29 04:00:00",232.95,8.36
