"DateTime","SBILIFE","SBILIFE - PB"
"2017-10-03 04:00:00",707.55,12.88
"2017-10-04 04:00:00",703.65,12.75
"2017-10-05 04:00:00",694.55,12.73
"2017-10-06 04:00:00",696.75,12.73
"2017-10-09 04:00:00",698.65,12.8
"2017-10-10 04:00:00",700,12.64
"2017-10-11 04:00:00",689.9,12.57
"2017-10-12 04:00:00",687.7,12.68
"2017-10-13 04:00:00",689.7,12.68
"2017-10-16 04:00:00",670.1,12.31
"2017-10-17 04:00:00",673.05,12.26
"2017-10-18 04:00:00",668.4,12.26
"2017-10-23 04:00:00",665.8,12.29
"2017-10-24 04:00:00",665.85,12.26
"2017-10-25 04:00:00",669.9,12.2
"2017-10-26 04:00:00",666.85,12.16
"2017-10-27 04:00:00",662.2,12.16
"2017-10-30 04:00:00",655,12.05
"2017-10-31 04:00:00",662.1,11.81
"2017-11-01 04:00:00",647.05,11.81
"2017-11-02 04:00:00",642.75,11.8
"2017-11-03 04:00:00",642.25,11.8
"2017-11-06 04:00:00",656.75,11.78
"2017-11-07 04:00:00",642.35,11.59
"2017-11-08 04:00:00",631.6,12.08
"2017-11-09 04:00:00",657.95,12.37
"2017-11-10 04:00:00",676.55,12.37
"2017-11-13 04:00:00",665,12.1
"2017-11-14 04:00:00",660,11.9
"2017-11-15 04:00:00",649.35,11.91
"2017-11-16 04:00:00",649.9,12.05
"2017-11-17 04:00:00",659.55,12.05
"2017-11-20 04:00:00",661.45,12.64
"2017-11-21 04:00:00",687.45,12.72
"2017-11-22 04:00:00",693.15,12.24
"2017-11-23 04:00:00",666.3,12.02
"2017-11-24 04:00:00",655.7,12.02
"2017-11-27 04:00:00",653.7,12
"2017-11-28 04:00:00",653.45,12.06
"2017-11-29 04:00:00",656.2,12.03
"2017-11-30 04:00:00",654.9,12.04
"2017-12-01 04:00:00",655.9,12.04
"2017-12-04 04:00:00",661.75,12.09
"2017-12-05 04:00:00",659.1,12.02
"2017-12-06 04:00:00",656.1,12.24
"2017-12-07 04:00:00",668.4,12.54
"2017-12-08 04:00:00",685.7,12.54
"2017-12-11 04:00:00",674.75,12.39
"2017-12-12 04:00:00",676.05,12.51
"2017-12-13 04:00:00",675.35,12.48
"2017-12-14 04:00:00",679.9,12.66
"2017-12-15 04:00:00",689,12.66
"2017-12-18 04:00:00",692.15,12.79
"2017-12-19 04:00:00",697.3,12.75
"2017-12-20 04:00:00",697.15,12.84
"2017-12-21 04:00:00",701.8,12.89
"2017-12-22 04:00:00",702.85,12.89
"2017-12-26 04:00:00",701.7,12.84
"2017-12-27 04:00:00",700.45,12.75
"2017-12-28 04:00:00",698.9,12.76
"2017-12-29 04:00:00",695.35,12.76
"2018-01-01 04:00:00",699.5,12.53
"2018-01-02 04:00:00",685.1,12.74
"2018-01-03 04:00:00",690.5,12.84
"2018-01-04 04:00:00",701.6,12.86
"2018-01-05 04:00:00",701.95,12.86
"2018-01-08 04:00:00",704.15,13.06
"2018-01-09 04:00:00",717.25,13.02
"2018-01-10 04:00:00",711.6,12.87
"2018-01-11 04:00:00",703.8,12.87
"2018-01-12 04:00:00",701.75,12.87
"2018-01-15 04:00:00",716.75,12.86
"2018-01-16 04:00:00",700.85,12.92
"2018-01-17 04:00:00",705.25,12.93
"2018-01-18 04:00:00",707.8,13.01
"2018-01-19 04:00:00",711.5,13.01
"2018-01-22 04:00:00",714.65,13.13
"2018-01-23 04:00:00",716.9,12.85
"2018-01-24 04:00:00",702.6,12.53
"2018-01-25 04:00:00",682.05,12.53
"2018-01-29 04:00:00",681.85,12.25
"2018-01-30 04:00:00",667.9,12.11
"2018-01-31 04:00:00",660.65,12.99
"2018-02-01 04:00:00",708.7,13.03
"2018-02-02 04:00:00",718.3,13.03
"2018-02-05 04:00:00",695.05,12.7
"2018-02-06 04:00:00",695.25,13.1
"2018-02-07 04:00:00",713.7,13.1
"2018-02-08 04:00:00",715,13.03
"2018-02-09 04:00:00",709.9,13.03
"2018-02-12 04:00:00",685.8,12.59
"2018-02-14 04:00:00",682.25,12.53
"2018-02-15 04:00:00",682.4,12.7
"2018-02-16 04:00:00",689.25,12.7
"2018-02-19 04:00:00",685.25,12.36
"2018-02-20 04:00:00",674.65,12.39
"2018-02-21 04:00:00",675.5,12.21
"2018-02-22 04:00:00",666.2,12.38
"2018-02-23 04:00:00",675.7,12.38
"2018-02-26 04:00:00",682.2,12.65
"2018-02-27 04:00:00",689.45,12.7
"2018-02-28 04:00:00",694.5,12.65
"2018-03-01 04:00:00",690,12.65
"2018-03-05 04:00:00",672.55,11.96
"2018-03-06 04:00:00",655.05,11.99
"2018-03-07 04:00:00",652.6,11.91
"2018-03-08 04:00:00",653.3,12.29
"2018-03-09 04:00:00",670.3,12.29
