"DateTime","SBILIFE","SBILIFE - PE"
"2017-10-03 04:00:00",707.55,66.86
"2017-10-04 04:00:00",703.65,66.19
"2017-10-05 04:00:00",694.55,66.11
"2017-10-06 04:00:00",696.75,66.11
"2017-10-09 04:00:00",698.65,66.43
"2017-10-10 04:00:00",700,65.62
"2017-10-11 04:00:00",689.9,65.24
"2017-10-12 04:00:00",687.7,65.83
"2017-10-13 04:00:00",689.7,65.83
"2017-10-16 04:00:00",670.1,63.93
"2017-10-17 04:00:00",673.05,63.62
"2017-10-18 04:00:00",668.4,63.62
"2017-10-23 04:00:00",665.8,63.81
"2017-10-24 04:00:00",665.85,63.62
"2017-10-25 04:00:00",669.9,63.33
"2017-10-26 04:00:00",666.85,63.14
"2017-10-27 04:00:00",662.2,63.14
"2017-10-30 04:00:00",655,62.56
"2017-10-31 04:00:00",662.1,60.6
"2017-11-01 04:00:00",647.05,60.55
"2017-11-02 04:00:00",642.75,60.51
"2017-11-03 04:00:00",642.25,60.51
"2017-11-06 04:00:00",656.75,60.41
"2017-11-07 04:00:00",642.35,59.47
"2017-11-08 04:00:00",631.6,61.98
"2017-11-09 04:00:00",657.95,63.46
"2017-11-10 04:00:00",676.55,63.46
"2017-11-13 04:00:00",665,62.07
"2017-11-14 04:00:00",660,61.03
"2017-11-15 04:00:00",649.35,61.07
"2017-11-16 04:00:00",649.9,61.83
"2017-11-17 04:00:00",659.55,61.83
"2017-11-20 04:00:00",661.45,64.83
"2017-11-21 04:00:00",687.45,65.26
"2017-11-22 04:00:00",693.15,62.77
"2017-11-23 04:00:00",666.3,61.67
"2017-11-24 04:00:00",655.7,61.67
"2017-11-27 04:00:00",653.7,61.54
"2017-11-28 04:00:00",653.45,61.87
"2017-11-29 04:00:00",656.2,61.68
"2017-11-30 04:00:00",654.9,61.73
"2017-12-01 04:00:00",655.9,61.73
"2017-12-04 04:00:00",661.75,62.04
"2017-12-05 04:00:00",659.1,61.64
"2017-12-06 04:00:00",656.1,62.78
"2017-12-07 04:00:00",668.4,64.32
"2017-12-08 04:00:00",685.7,64.32
"2017-12-11 04:00:00",674.75,63.57
"2017-12-12 04:00:00",676.05,64.18
"2017-12-13 04:00:00",675.35,64.02
"2017-12-14 04:00:00",679.9,64.93
"2017-12-15 04:00:00",689,64.93
"2017-12-18 04:00:00",692.15,65.62
"2017-12-19 04:00:00",697.3,65.4
"2017-12-20 04:00:00",697.15,65.87
"2017-12-21 04:00:00",701.8,66.11
"2017-12-22 04:00:00",702.85,66.11
"2017-12-26 04:00:00",701.7,65.86
"2017-12-27 04:00:00",700.45,65.41
"2017-12-28 04:00:00",698.9,65.42
"2017-12-29 04:00:00",695.35,65.42
"2018-01-01 04:00:00",699.5,64.26
"2018-01-02 04:00:00",685.1,65.36
"2018-01-03 04:00:00",690.5,65.88
"2018-01-04 04:00:00",701.6,65.97
"2018-01-05 04:00:00",701.95,65.97
"2018-01-08 04:00:00",704.15,66.98
"2018-01-09 04:00:00",717.25,66.81
"2018-01-10 04:00:00",711.6,66.01
"2018-01-11 04:00:00",703.8,66.01
"2018-01-12 04:00:00",701.75,66.01
"2018-01-15 04:00:00",716.75,65.96
"2018-01-16 04:00:00",700.85,66.25
"2018-01-17 04:00:00",705.25,66.33
"2018-01-18 04:00:00",707.8,66.72
"2018-01-19 04:00:00",711.5,66.72
"2018-01-22 04:00:00",714.65,67.33
"2018-01-23 04:00:00",716.9,65.92
"2018-01-24 04:00:00",702.6,64.27
"2018-01-25 04:00:00",682.05,64.27
"2018-01-29 04:00:00",681.85,62.86
"2018-01-30 04:00:00",667.9,59.87
"2018-01-31 04:00:00",660.65,64.22
"2018-02-01 04:00:00",708.7,64.43
"2018-02-02 04:00:00",718.3,64.43
"2018-02-05 04:00:00",695.05,62.77
"2018-02-06 04:00:00",695.25,64.77
"2018-02-07 04:00:00",713.7,64.77
"2018-02-08 04:00:00",715,64.4
"2018-02-09 04:00:00",709.9,64.4
"2018-02-12 04:00:00",685.8,62.23
"2018-02-14 04:00:00",682.25,61.95
"2018-02-15 04:00:00",682.4,62.77
"2018-02-16 04:00:00",689.25,62.77
"2018-02-19 04:00:00",685.25,61.12
"2018-02-20 04:00:00",674.65,61.24
"2018-02-21 04:00:00",675.5,60.39
"2018-02-22 04:00:00",666.2,61.23
"2018-02-23 04:00:00",675.7,61.23
"2018-02-26 04:00:00",682.2,62.54
"2018-02-27 04:00:00",689.45,62.77
"2018-02-28 04:00:00",694.5,62.54
"2018-03-01 04:00:00",690,62.54
"2018-03-05 04:00:00",672.55,59.14
"2018-03-06 04:00:00",655.05,59.28
"2018-03-07 04:00:00",652.6,58.87
"2018-03-08 04:00:00",653.3,60.78
"2018-03-09 04:00:00",670.3,60.78
"2018-03-12 04:00:00",678.55,61.77
"2018-03-13 04:00:00",677.5,61.23
"2018-03-14 04:00:00",674.15,61.36
"2018-03-15 04:00:00",675,61
"2018-03-16 04:00:00",668.45,61
"2018-03-19 04:00:00",674.1,62.45
"2018-03-20 04:00:00",686.6,61.23
"2018-03-21 04:00:00",672.9,60.68
